Conf. θₙ ; Φₙ,θᵣ=-90,θᵣ=-87,θᵣ=-84,θᵣ=-81,θᵣ=-78,θᵣ=-75,θᵣ=-72,θᵣ=-69,θᵣ=-66,θᵣ=-63,θᵣ=-60,θᵣ=-57,θᵣ=-54,θᵣ=-51,θᵣ=-48,θᵣ=-45,θᵣ=-42,θᵣ=-39,θᵣ=-36,θᵣ=-33,θᵣ=-30,θᵣ=-27,θᵣ=-24,θᵣ=-21,θᵣ=-18,θᵣ=-15,θᵣ=-12,θᵣ=-9,θᵣ=-6,θᵣ=-3,θᵣ=0,θᵣ=3,θᵣ=6,θᵣ=9,θᵣ=12,θᵣ=15,θᵣ=18,θᵣ=21,θᵣ=24,θᵣ=27,θᵣ=30,θᵣ=33,θᵣ=36,θᵣ=39,θᵣ=42,θᵣ=45,θᵣ=48,θᵣ=51,θᵣ=54,θᵣ=57,θᵣ=60,θᵣ=63,θᵣ=66,θᵣ=69,θᵣ=72,θᵣ=75,θᵣ=78,θᵣ=81,θᵣ=84,θᵣ=87,θᵣ=90
-90° ; -45°,-78.41370629370621,-79.36860139860165,-79.69090909090956,-79.3812937062936,-78.07419580419565,-80.92341491841475,-84.14531468531453,-85.92517482517465,-85.89142191143202,-84.94958041959043,-83.31708624709606,-81.64617715618677,-80.79953379954333,-79.85627039627983,-79.29962703963638,-79.3085314685408,-82.12431235432203,-85.5242424242525,-85.70967365968376,-83.7107459207558,-81.49447552448514,-77.61592074592991,-77.65214452215368,-78.77459207460137,-81.82533799534764,-80.89198135199088,-77.98738927739846,-76.06981351982247,-73.94741258742131,-72.63585081585938,-76.34899766900668,-80.17487179488124,-83.75713286714273,-82.60286713287687,-78.53347319348242,-73.98976689977562,-71.16219114219953,-73.23578088578952,-79.01191142192074,-82.06461538462506,-82.51689976690949,-79.415011655021,-76.35834498835398,-76.15151515152412,-76.51377622378524,-78.56093240094165,-81.9579720279817,-85.00944055945057,-87.1819114219217,-85.74165501166512,-82.61687645688619,-78.01389277390196,-74.8516317016405,-74.81827505828386,-77.49184149185061,-81.43282051283012,-84.467972027982,-85.43144522145528,-84.21433566434557,-81.37713286713272,-79.04678321678306
-90° ; -42°,-77.60248251748305,-79.33706293706382,-78.78611888112069,-79.28800699300702,-78.1256643356643,-80.75388111888108,-83.84853146853145,-85.69706293706292,-85.80965034966047,-84.77724941725941,-82.87792540793518,-80.8880885780981,-79.91501165502108,-79.58456876457815,-78.97102564103494,-79.04862470863402,-81.80156177157141,-85.05282051283052,-85.14568764569768,-83.54279720280705,-81.50158508159468,-77.76279720280637,-77.58948717949632,-78.77962703963632,-81.54685314686276,-80.62701631702582,-77.92575757576677,-76.4543822843913,-74.5588578088666,-73.53135198136064,-76.66382284383188,-79.61340326341262,-82.55993006993978,-81.07510489511444,-77.15869463870374,-73.41258741259607,-71.27386946387787,-73.88109557110425,-79.71568764569705,-82.66634032635008,-82.89074592075568,-79.29701631702567,-76.01445221446116,-75.57871794872685,-75.7755011655101,-78.07547785548705,-81.37403263404224,-84.85375291376292,-87.84958041959077,-87.24962703963735,-84.71566433567433,-79.88923076924019,-76.24832167833067,-76.26023310024209,-79.45543123544061,-83.92424242425231,-86.50410256411276,-86.28296037297054,-83.69825174826161,-79.91349650349666,-77.50475524475556
-90° ; -39°,-77.65584498834538,-79.0543706293713,-78.90673076923201,-79.30433566433558,-78.1269930069929,-80.5044522144521,-83.4811888111887,-85.42062937062924,-85.72822843823855,-84.72135198136198,-82.74655011655986,-80.67102564103516,-79.80734265735207,-79.68958041958982,-79.05682983683914,-79.32342657343592,-81.93293706294672,-85.05249417250418,-85.24004662005667,-83.67808857809844,-81.5534731934828,-77.59184149185064,-77.40461538462449,-78.80904428905357,-81.47757575758536,-80.75123543124494,-77.9516550116642,-76.1807226107316,-74.1022843822931,-73.22053613054474,-76.90212121213028,-80.35993006993954,-83.47324009324993,-81.85188811189776,-77.40620046620958,-73.31927738928603,-71.16130536131374,-74.01624708625582,-79.99517482518425,-82.84314685315663,-82.9809790209888,-79.07470862471796,-75.79738927739821,-75.6493006993096,-75.83550116551008,-78.34034965035889,-81.4109557109653,-84.20060606061598,-86.77764568765592,-86.31414918415935,-84.56650349651346,-80.53424242425191,-78.04317016317935,-78.75139860140789,-81.46125874126834,-85.34533799534805,-87.40386946387977,-86.56720279721301,-83.67981351982338,-80.09398601398618,-77.77867132867159
-90° ; -36°,-79.19801864801877,-78.61867132867158,-80.48580419580455,-78.52842657342651,-77.17874125874117,-79.80159673659665,-82.69279720279712,-84.17398601398592,-84.0230303030402,-83.24846153847136,-82.28216783217752,-81.44769230770191,-81.18207459208416,-80.29372960373907,-79.01107226108158,-78.31736596737522,-80.80123543124495,-84.77074592075591,-85.70785547786558,-84.05200466201458,-81.9726340326437,-77.41592074592987,-77.3018414918506,-78.75181818182746,-82.02501165502133,-81.25627039627997,-78.27377622378545,-75.84773892774786,-73.05759906760767,-71.17895104895945,-75.15909090909976,-79.08827505828437,-83.08813519814498,-82.40662004662975,-78.4475990676083,-74.00913752914624,-71.7252214452299,-73.89445221446091,-79.66540792541731,-82.4801864801962,-82.70291375292351,-79.11494172495104,-76.06867132868027,-76.60536130537032,-77.28191142192051,-79.68990675991614,-82.95069930070908,-84.69286713287711,-85.42365967366973,-83.18062937063915,-80.55393939394888,-77.46125874126787,-76.11340326341222,-77.11027972028879,-78.26456876457797,-80.87191142192094,-83.52983682984667,-85.03118881119882,-84.99578088579091,-83.44783216783219,-81.18013986013992
-90° ; -33°,-81.94615384615392,-79.95895104895101,-82.53916083916062,-78.16339160839156,-76.66755244755237,-79.58430069930063,-82.53118881118877,-83.76370629370629,-83.34566433567416,-82.97179487180463,-82.65331002331976,-82.26965034966004,-81.9236130536227,-80.25065268066213,-78.6265734265827,-77.41848484849396,-80.23741258742203,-84.77410256411255,-85.85804195805208,-83.97020979021968,-81.58571095572057,-77.13449883450792,-76.9721678321769,-78.44016317017241,-82.11508158509126,-81.02118881119836,-77.98825174826095,-75.75692307693201,-73.57181818182686,-72.00312354313202,-74.71953379954259,-76.78638694639601,-78.91312354313285,-77.88270396271315,-75.51424242425132,-72.78037296038154,-72.52701631702485,-74.5803030303118,-79.74645687646627,-82.40158508159479,-82.50494172495144,-79.68006993007931,-76.45247086247987,-77.01601398602305,-78.46983682984607,-80.63645687646638,-84.01620046621036,-84.66344988345986,-84.16769230770223,-80.78186480187432,-77.24477855478767,-74.71344988345868,-73.22447552448416,-74.02142191143062,-74.69543123544003,-76.21160839161737,-79.19277389278324,-82.51160839161811,-84.84083916084914,-85.73706293706304,-84.56265734265745
-90° ; -30°,-81.3958275058275,-81.35104895104895,-82.4170629370629,-79.40213286713279,-79.8050349650347,-82.8273776223774,-85.16517482517469,-85.83272727272714,-85.30993006994012,-85.62449883450893,-85.49934731935738,-84.62198135199132,-82.31972027972999,-78.11850815851737,-76.52370629371532,-77.06487179488087,-81.88226107227072,-85.90638694639705,-85.73396270397278,-82.51307692308663,-79.25135198136132,-76.52188811189711,-76.92946386947294,-77.70163170164085,-80.90540792541745,-79.8685780885875,-76.92324009324916,-75.59055944056834,-74.95550116551001,-74.38741258742135,-76.18100233101131,-78.18442890443812,-79.52818181819119,-77.6675291375383,-74.64594405595285,-72.97111888112747,-72.48181818182671,-74.35846153847028,-79.30442890443824,-82.13689976690945,-82.09006993007962,-79.58272727273665,-76.2321212121302,-75.27296037296927,-76.17592074592973,-78.8967832167925,-82.6599300699398,-84.09652680653672,-84.03193473194463,-80.72575757576709,-76.04876456877354,-72.54808857809712,-70.76209790210625,-70.50892773893605,-71.99736596737446,-74.10778554779426,-76.45358974359874,-78.76750582751511,-80.42799533800482,-81.3796503496503,-81.60503496503493
-90° ; -27°,-80.1009382284383,-80.8012237762239,-81.42061188811206,-80.51505244755249,-83.303811188811,-85.39050699300688,-86.03566433566432,-85.56818181818183,-84.84013986014986,-85.414731934742,-85.8002097902199,-85.24594405595408,-81.92694638695603,-76.96575757576665,-75.57878787879677,-77.41526806527719,-82.95456876457854,-86.30132867133882,-85.44286713287721,-81.656946386956,-78.12379953380872,-76.12834498835394,-76.90615384616288,-77.55589743590659,-80.43163170164117,-79.72713286714226,-76.59988344989247,-75.49596736597627,-75.42046620047509,-75.52377622378512,-77.55883449884364,-79.86081585082528,-80.9778321678417,-78.3673892773985,-74.39198135199013,-72.90004662005519,-72.0549184149269,-74.23750582751457,-79.41927738928675,-82.43006993007965,-82.34144522145493,-79.53130536131474,-76.02748251749148,-74.13356643357517,-74.74389277390158,-77.96431235432152,-81.77638694639657,-83.57629370630356,-83.69634032635018,-80.44121212122158,-75.58946386947278,-71.72018648019493,-70.2558974359057,-69.74034965035787,-71.35223776224618,-73.82317016317886,-75.97741258742154,-77.73414918415834,-78.78836829837758,-79.28188811188812,-79.62139860139864
-90° ; -24°,-77.88016317016317,-79.15615384615398,-79.51909090909115,-82.71903846153846,-86.3895454545455,-86.36647435897446,-85.59524475524488,-85.35013986013996,-85.70603729604741,-85.7972027972129,-85.14333333334336,-82.81037296038272,-78.53377622378548,-75.34456876457764,-76.1189044289134,-79.88151515152455,-84.52995337996332,-86.55825174826195,-84.44913752914746,-80.7423076923172,-77.5327505827597,-76.63053613054517,-77.40072261073173,-78.2631934732027,-80.37375291376239,-79.56692307693245,-77.14638694639604,-76.40664335665237,-75.91895104896,-75.98482517483414,-77.12589743590652,-78.87717948718878,-79.98417249418192,-77.7824475524567,-74.25986013986889,-72.80769230770089,-71.05790209791047,-73.89312354313225,-79.67979020979959,-83.03871794872772,-83.21505827506806,-79.76233100234042,-75.9045687645777,-72.81375291376148,-72.86137529138388,-76.85988344989252,-80.03662004662948,-82.6231934732032,-83.8998368298467,-81.5480652680749,-77.40139860140772,-72.98536130536992,-71.38256410257253,-70.49002331003163,-72.22445221446073,-75.3008158508247,-77.31878787879698,-78.28452214453137,-78.16624708625629,-77.46881118881115,-77.21454545454544
-90° ; -21°,-77.08121212121263,-78.8856643356652,-78.76370629370763,-81.90662587412592,-82.50583916083926,-82.33254662004673,-82.6567132867134,-83.58447552447562,-84.5141025641125,-84.3410722610822,-82.91643356644335,-79.86449883450824,-77.13000000000909,-76.74340326341229,-78.26932400933322,-81.51822843823805,-85.14044289045292,-86.3872960373062,-84.26878787879781,-81.52564102565063,-79.1462237762331,-77.72424242425157,-78.13349650350571,-79.47643356644294,-81.0801398601494,-79.9009090909185,-77.63990675991592,-76.35104895105795,-74.99041958042841,-74.78834498835381,-76.0621911422001,-78.2016317016409,-80.06305361306305,-78.65158508159435,-75.56594405595295,-72.97944055944916,-70.62883449884283,-73.44955710956577,-79.39006993007929,-82.84421911422888,-83.27433566434549,-79.71100233101174,-75.8640792540882,-73.4719114219201,-73.23039627040491,-76.57428904429807,-78.3973193473286,-81.3098135198231,-84.28627039628033,-84.07102564103555,-81.90305361306325,-77.62496503497418,-74.52892773893652,-73.38289044289911,-75.07694638695524,-79.17144522145455,-81.09254079255034,-81.13787878788837,-79.54456876457814,-77.36741258741274,-76.31692307692335
-90° ; -18°,-77.7898368298377,-79.59517482517626,-79.34440559440752,-79.28823426573427,-78.61164335664336,-79.52312937062936,-81.29986013986013,-83.08202797202796,-84.07342657343649,-83.58909090910075,-81.7796969697066,-79.24438228439162,-78.47191142192068,-79.4077622377716,-80.1982750582845,-81.47547785548745,-83.5672960373059,-84.98118881119883,-84.11694638695629,-82.85993006993982,-81.30657342658303,-78.68044289045217,-78.34720279721202,-79.40608391609327,-81.07393939394895,-79.61223776224713,-77.32240093241005,-76.30932400933301,-74.9929370629459,-74.5407226107314,-76.35850815851714,-78.38832167833091,-79.9283682983777,-78.39993006993932,-75.80372960373855,-72.35279720280573,-71.22599067599907,-74.21447552448427,-79.99424242425185,-82.77878787879763,-83.06696969697948,-79.22792540793476,-76.02431235432131,-75.49456876457765,-76.15829836830734,-78.23687645688568,-80.71400932401883,-82.79804195805171,-85.43641025642032,-85.43118881119888,-84.38109557110552,-80.7044055944151,-77.92053613054532,-77.7677622377714,-79.9260372960467,-84.13797202798195,-86.73561771562794,-86.33424242425258,-83.66983682984669,-79.96279720279759,-77.64048951049006
